,Year_Birth,Education,Age,Age_Group,Income,IncomeClass,FamilySize,Dt_Customer,Recency,Day_Joined,Month_Joined,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,T_AmountSpent,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,T_NPurchase,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,T_AcceptedCmpgn
0,1957,Undergraduate,57,Middle-aged,58138.0,Middle,1,2012-09-04,58,Tuesday,September,635.0,88.0,546.0,172.0,88.0,88.0,1617.0,3,8,10,4,7,25,0,0,0,0,0,0
1,1954,Undergraduate,60,Old,46344.0,Lower Middle,3,2014-03-08,38,Saturday,March,11.0,1.0,6.0,2.0,1.0,6.0,27.0,2,1,1,2,5,6,0,0,0,0,0,0
2,1965,Undergraduate,49,Middle-aged,71613.0,Middle,2,2013-08-21,26,Wednesday,August,426.0,49.0,127.0,111.0,21.0,42.0,776.0,1,8,2,10,4,21,0,0,0,0,0,0
3,1984,Undergraduate,30,Young Adults,26646.0,Poor,3,2014-02-10,26,Monday,February,11.0,4.0,20.0,10.0,3.0,5.0,53.0,2,2,0,4,6,8,0,0,0,0,0,0
4,1981,Postgraduate,33,Young Adults,58293.0,Middle,3,2014-01-19,94,Sunday,January,173.0,43.0,118.0,46.0,27.0,15.0,422.0,5,5,3,6,5,19,0,0,0,0,0,0
5,1967,Postgraduate,47,Middle-aged,62513.0,Middle,3,2013-09-09,16,Monday,September,520.0,42.0,98.0,0.0,42.0,14.0,716.0,2,6,4,10,6,22,0,0,0,0,0,0
6,1971,Undergraduate,43,Middle-aged,55635.0,Middle,2,2012-11-13,34,Tuesday,November,235.0,65.0,164.0,50.0,49.0,27.0,590.0,4,7,3,7,6,21,0,0,0,0,0,0
7,1985,Postgraduate,29,Young Adults,33454.0,Lower Middle,3,2013-05-08,32,Wednesday,May,76.0,10.0,56.0,3.0,1.0,23.0,169.0,2,4,0,4,8,10,0,0,0,0,0,0
8,1974,Postgraduate,40,Middle-aged,30351.0,Lower Middle,3,2013-06-06,19,Thursday,June,14.0,0.0,24.0,3.0,3.0,2.0,46.0,1,3,0,2,9,6,0,0,0,0,0,0
9,1950,Postgraduate,64,Old,5648.0,Poor,4,2014-03-13,68,Thursday,March,28.0,0.0,6.0,1.0,1.0,13.0,49.0,1,1,0,0,20,2,1,0,0,0,0,1
10,1983,Undergraduate,31,Young Adults,36330.99329739261,Lower Middle,3,2013-11-15,11,Friday,November,5.0,5.0,6.0,0.0,2.0,1.0,19.0,1,1,0,2,7,4,0,0,0,0,0,0
